Surface_Code,Court_Code,Series_Code,Round_Code,Best of,Rank_1,Rank_2,Rank_Diff
3,0,1,1,3,125,4,-121
1,0,5,2,3,48,37,-11
2,0,0,0,3,2159,69,-2090
1,0,5,0,3,42,69,27
1,0,2,0,5,78,26,-52
1,0,5,1,3,70,16,-54
3,1,0,4,3,63,53,-10
3,1,4,0,3,1086,88,-998
3,1,0,1,3,64,40,-24
3,0,6,0,3,13,41,28
1,0,5,0,3,17,53,36
1,0,3,1,3,2,82,80
3,0,3,0,3,70,51,-19
3,0,3,0,3,84,38,-46
1,0,6,0,3,51,53,2
3,0,0,0,3,97,115,18
1,0,5,0,3,39,51,12
3,1,0,0,3,22,180,158
