Surface_Code,Court_Code,Series_Code,Round_Code,Best of,Rank_1,Rank_2,Rank_Diff
3,0,6,1,3,47,12,-35
2,0,1,4,3,13,44,31
2,0,2,1,5,144,14,-130
1,0,2,1,5,4,220,216
3,0,5,0,3,104,35,-69
3,0,0,0,3,61,64,3
3,1,0,1,3,43,107,64
1,0,3,1,3,190,30,-160
2,0,1,0,3,10,62,52
1,0,6,0,3,60,43,-17
1,0,0,1,3,47,24,-23
3,1,6,4,3,12,2,-10
0,1,3,0,3,11,14,3
2,0,2,1,5,87,136,49
2,0,1,1,3,71,30,-41
1,0,0,1,3,124,199,75
3,0,3,5,3,73,102,29
1,0,2,1,5,74,24,-50
3,0,6,1,3,560,29,-531
3,0,0,0,3,120,233,113
1,0,2,0,5,50,7,-43
1,0,3,0,3,56,48,-8
3,0,4,0,3,147,86,-61
3,0,2,1,5,72,66,-6
3,1,1,1,3,12,19,7
1,0,5,0,3,23,4,-19
1,0,3,1,3,80,18,-62
2,0,0,4,3,211,98,-113
1,0,4,1,3,18,63,45
3,1,6,7,3,10,1,-9
1,0,2,0,5,71,123,52
2,0,0,6,3,31,42,11
1,0,2,0,5,33,112,79
3,0,3,1,3,25,69,44
3,0,3,6,3,3,1,-2
1,0,1,4,3,7,18,11
3,1,0,0,3,6,368,362
3,0,6,1,3,16,38,22
3,0,0,0,3,52,79,27
1,0,3,0,3,92,374,282
2,0,2,0,5,81,122,41
3,1,0,1,3,54,9,-45
1,0,0,1,3,65,42,-23
3,0,6,3,3,5,79,74
1,0,5,0,3,93,61,-32
3,0,3,1,3,80,165,85
3,0,0,0,3,137,128,-9
3,1,0,7,3,129,93,-36
3,0,5,1,3,3,82,79
1,0,0,4,3,119,18,-101
3,0,0,1,3,95,18,-77
1,0,3,1,3,94,75,-19
3,1,1,0,3,34,5,-29
1,0,6,4,3,6,24,18
1,0,6,1,3,60,5,-55
3,0,3,7,3,50,14,-36
3,0,5,0,3,54,53,-1
3,1,1,0,3,90,52,-38
3,0,3,1,3,38,117,79
1,0,0,0,3,83,152,69
3,0,2,0,5,1370,1,-1369
1,0,0,0,3,482,22,-460
3,0,4,1,3,51,20,-31
2,0,1,0,3,67,16,-51
3,0,1,0,3,41,10,-31
3,0,0,1,3,50,44,-6
1,0,0,1,3,116,128,12
3,0,2,0,5,5,67,62
1,0,1,0,3,52,100,48
1,0,6,0,3,44,50,6
1,0,6,1,3,12,31,19
1,0,3,1,3,3,81,78
1,0,2,0,5,94,20,-74
1,0,6,0,3,58,43,-15
3,0,6,0,3,58,50,-8
3,0,1,1,3,39,9,-30
1,0,0,1,3,80,11,-69
3,0,4,1,3,80,204,124
3,0,4,2,3,14,434,420
2,0,0,1,3,39,93,54
3,0,0,1,3,11,141,130
3,0,4,0,3,66,258,192
3,0,4,1,3,116,37,-79
1,0,5,2,3,5,28,23
1,0,0,0,3,156,145,-11
3,0,6,0,3,45,57,12
2,0,2,1,5,94,23,-71
1,0,3,0,3,31,65,34
1,0,0,0,3,110,44,-66
2,0,2,0,5,163,26,-137
1,0,0,1,3,43,70,27
1,0,5,2,3,37,29,-8
3,0,0,0,3,107,612,505
1,0,3,0,3,51,58,7
3,1,6,1,3,60,12,-48
3,0,1,4,3,29,17,-12
1,0,3,4,3,59,67,8
3,1,1,0,3,54,135,81
3,0,3,0,3,34,5,-29
3,0,1,0,3,43,64,21
3,0,2,1,5,61,6,-55
3,0,0,4,3,38,31,-7
3,0,5,0,3,87,60,-27
1,0,0,4,3,140,40,-100
